TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN
TID_ALLIANCE_TROOP_RECEIVED,You have received level <level> <troop> from <avatar>!,Vous avez reçu <troop> de niveau <level> de la part de <avatar> !,Du hast Level <level> <troop> von <avatar> erhalten!,¡Has recibido <troop> <level> de <avatar>!,Hai ricevuto <troop> di livello <level> da <avatar>!,Je hebt <troop> met niveau <level> ontvangen van <avatar>!,Du har mottatt nivå <level> <troop> fra <avatar>!,Você recebeu <troop> nível <level> de <avatar>!,<avatar> tarafından size <level> seviye <troop> gönderildi!,<avatar>からレベル<level>の<troop>をもらいました！,您从<avatar>获得了第<level>级的<troop>！
TID_BARBARIAN,Barbarian,Barbare,Barbar,Bárbaro,Barbaro,Barbaar,Barbar,Bárbaro,Barbar,バーバリアン,野蛮人
TID_ARCHER,Archer,Archer,Bogenschütze,Arquero,Arciere,Boogschutter,Bueskytter,Arqueira,Okçu,アーチャー,弓箭手
TID_GIANT,Giant,Géant,Riese,Gigante,Gigante,Reus,Gigant,Gigante,Dev,ジャイアント,巨人
TID_DRAGON,Dragon,Dragon,Drache,Dragón,Drago,Draak,Drage,Dragão,Ejderha,ドラゴン,飞龙
TID_PEKKA,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A.,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,P.E.K.K.A,皮卡超人
TID_GOBLIN,Goblin,Gobelin,Kobold,Duende,Goblin,Gobelin,Nisse,Goblin,Goblin,ゴブリン,哥布林
TID_WALL_BREAKER,Wall Breaker,Sapeur,Mauerbrecher,Rompemuros,Spaccamuro,Muurbreker,Veggbryter,Destruidor de Muros,Duvar Yıkıcı,ウォールブレイカー,炸弹人
TID_GOBLIN_BALLOON,Balloon,Ballon,Ballon,Globo,Mongolfiera,Ballon,Ballong,Balão,Balon,エアバルーン,气球兵
TID_HEALER,Healer,Guérisseuse,Heiler,Sanador,Guaritore,Heler,Helbreder,Curadora,Şifacı,ヒーラー,天使
TID_WIZARD,Wizard,Sorcier,Magier,Mago,Stregone,Tovenaar,Sjaman,Mago,Sihirbaz,ウィザード,法师
TID_TROOP_REQUEST_FAIL_CASTLE_FULL,Clan Castle is already full!,Le château du clan est déjà plein !,Clanburg ist bereits voll!,¡El castillo del clan está lleno!,Il castello del clan è pieno!,Clankasteel is al vol!,Klanslottet er allerede fullt!,Castelo do Clã já está cheio!,Klan Kalesi zaten dolu!,クランの城はすでに一杯です！,部落城堡已满！
TID_TROOP_REQUEST_FAIL_COOLDOWN,You need to wait before requesting more reinforcements.,Vous devez attendre avant de demander plus de renfort.,"Du musst warten, bevor du mehr Verstärkung anfordern kannst.",Tendrás que esperar antes de pedir más refuerzos.,Devi aspettare prima di richiedere altri rinforzi!,Je moet even wachten voordat je om meer versterkingen kunt vragen.,Du må vente før du kan be om forsterkninger.,Você precisa aguardar antes de pedir mais reforços.,Başka takviye istemeden önce beklemen gerekiyor.,さらに援軍をよぶには、しばらく待ってからにしてください。,您必须稍等片刻才能再次发出增援请求。
TID_ALLIANCE_STREAM_REWARD,You received <number>xp,Vous avez reçu <number> d'XP,Du erhältst <number> EP,Has recibido <number> EXP.,Hai ricevuto <number>XP,Je hebt <number> XP ontvangen,Du mottok <number>xp,Você recebeu <number> xp,<number>xp aldın,<number> XPをもらいました,您获得了<number>点经验值
TID_HOUSING_TROOPS_INSIDE,All troops:,Toutes les troupes :,Alle Truppen:,Todas las tropas:,Tutte le truppe:,Alle troepen:,Alle tropper:,Todas as tropas:,Tüm birlikler:,全ユニット：,所有军队：
TID_UNIT_STORAGE_CAPACITY,Troop capacity: <number>,Troupes maximum : <number>,Truppenkapazität: <number>,Capacidad de tropas: <number>,Capienza truppe: <number>,Troepencapaciteit: <number>,Soldatkapasitet: <number>,Capacidade: <number>,Asker kapasitesi: <number>,ユニット収容数： <number>,兵营容量：<number>
TID_REGENERATION_TIME,Regeneration time: <number> Minutes,Temps de régénération : <number> minutes,Regenerationszeit: <number> Minuten,Tiempo de recuperación: <number> minutos,Tempo di rigenerazione: <number> minuti,Hersteltijd: <number> minuten,Tid for gjenoppbygging: <number> minutter,Tempo de regeneração: <number> Minutos,Yenilenme süresi: <number> Dakika,再生時間： <number>分,恢复需要：<number>分钟
TID_HITPOINTS,Hitpoints: <number>,Points de vie : <number>,Trefferpunkte: <number>,Vida: <number>,Punti ferita: <number>,Levenspunten: <number>,Treffpoeng: <number>,Pontos de Vida: <number>,Hasar Puanı: <number>,ヒットポイント： <number>,生命值：<number>
TID_DPS,Damage per second: <number>,Dégâts par seconde : <number>,Schaden pro Sekunde: <number>,Daño por segundo: <number>,Danno al secondo: <number>,Schade per seconde: <number>,Skade per sekund: <number>,Dano por segundo: <number>,Saniye başına hasar: <number>,ダメージ (毎秒)： <number>,每秒伤害值：<number>
TID_HEAL,Heal: <number>,Soin : <number>,Heilung: <number>,Curación: <number>,Salute: <number>,Helen: <number>,Helbred: <number>,Curar: <number>,İyileştirme: <number>,回復： <number>,每秒恢复值：<number>
TID_TRAIN_COST,Training Cost: <number> <resource>,Coût de la formation : <number> <resource>,Trainingskosten: <number> <resource>,Coste entrenamiento: <number> <resource>,Costo addestramento: <number> <resource>,Trainingskosten: <number> <resource>,Treningsutgift: <number> <resource>,Custo de Treinamento: <number> <resource>,Eğitim Maliyeti: <number> <resource>,訓練コスト： <number> <resource>,训练费用：<number> 滴<resource>
TID_RESOURCE_STORAGE_CAPACITY,Storage Capacity: <number>,Capacité de stockage : <number>,Lagerkapazität: <number>,Capacidad de almacenaje: <number>,Capienza: <number>,Opslagcapaciteit: <number>,Lagringskapasitet: <number>,Capacidade de Armazenamento: <number>,Depolama Kapasitesi: <number>,収容量： <number>,最大容量：<number>
TID_PRODUCTION_RATE,Production Rate: <number> per hour,Production moyenne : <number> par heure,Produktionsrate: <number> pro Stunde,Ritmo de producción: <number> por hora,Ritmo produttivo: <number> all´ora,Productiesnelheid: <number> per uur,Produksjonshastighet: <number> per time,Taxa de Produção: <number> por hora,Üretim Hızı: <number> / saat,生産量： 1 時間に <number>,生产速度：每小时<number>个
TID_PRODUCTION_CAPACITY,Capacity: <number>,Capacité : <number>,Kapazität: <number>,Capacidad: <number>,Capienza: <number>,Capaciteit: <number>,Kapasitet: <number>,Capacidade: <number>,Kapasite: <number>,収容量： <number>,最大容量：<number>
TID_HOUSING_INFO,Your troops are stationed in Army Camps. Build more camps and upgrade them to muster a powerful army.,Vos troupes se trouvent dans les camps militaires. Construisez plus de camps et améliorez-les pour lever une puissante armée.,"Deine Truppen sind in Armeelagern stationiert. Baue mehr Lager und verbessere diese, um eine mächtige Armee aufzustellen.",Tus tropas están posicionadas en los campamentos. Construye más campamentos y mejóralos para crear un poderoso ejército.,Le tue truppe stazionano negli accampamenti. Costruiscine altri e migliorali per condurre un esercito potente.,Je troepen zijn gestationeerd in legerkampen. Bouw meer kampen om ze te upgraden en een sterk leger te vormen.,Soldatene dine er stasjonert i militærleirer. Bygg flere leirer og oppgrader dem for å mønstre en mektig hær.,Suas tropas ficam estacionadas nos Acampamentos. Construa mais deles e atualize-os para reunir um exército poderoso.,"Askerlerin, Ordu Kampı'nda bekliyor. Güçlü bir ordu toplamak için daha çok kamp inşa et ve onları yükselt.",ユニットは 「アーミーキャンプ」 に集まって出番を待ちます。\nキャンプの数を増やしたり、アップグレードすることで\n強大なアーミーを作り上げましょう。,军队驻扎在兵营。搭建更多兵营并升级以制造强大军队。
TID_TOWN_HALL_INFO,"This is the heart of your village. Upgrading your Town Hall unlocks new defenses, buildings, traps and much more.\nDestroying an opponent's Town Hall wins you the battle and you get one Star. Destroying 50% of enemy buildings gains you a second Star, while 100% annihilation awards full three Stars.\nBeware, your enemies will be trying to destroy your Town Hall too!\nFor maximum protection, keep your Town Hall in the middle of your village and protect it with walls, traps and defensive buildings. Your enemies are sneaky and can attack from any side!","Ceci est le cœur de votre village. Améliorer votre Hôtel de ville débloque de nouveaux bâtiments, des défenses, des pièges et bien plus encore.\nDétruisez un Hôtel de ville ennemi pour gagner la bataille et obtenir une étoile. Détruisez 50% des bâtiments ennemis pour obtenir une deuxième étoile, et 100% pour obtenir trois étoiles.\nAttention, vos ennemis essaieront aussi de s´attaquer à votre Hôtel de ville !\nPour une protection maximale, gardez votre Hôtel de ville au centre du village, et protégez-le à l´aide de remparts, de pièges et de bâtiments de défense. Vos ennemis rôdent et peuvent vous attaquer de tous les côtés !","Das hier ist das Herz deines Dorfs. Durch das Verbessern deines Rathauses schaltest du neue Verteidigungen, Fallen und vieles mehr frei. Zerstörst du das Rathaus eines Gegners, gewinnst du den Kampf und erhältst einen Stern. Zerstörst du 50 % der feindlichen Gebäude, erhältst du einen zweiten Stern, während du bei einer kompletten Zerstörung (100 %) drei Sterne erhältst.\nAber pass auf: Deine Gegner wollen auch dein Rathaus zerstören!\nFür maximalen Schutz sollte dein Rathaus in der Ortsmitte liegen und mit Mauern, Fallen und Verteidigungsgebäuden geschützt sein. Deine Gegner sind heimtückisch und können von jeder Seite aus angreifen!","Este es el corazón de la aldea. Mejora tu ayuntamiento y desbloquea nuevas defensas, edificios, trampas y mucho más. Destruyendo el ayuntamiento de un oponente ganas la batalla y consigues una estrella. Destruyendo el 50% de los edificios enemigos consigues dos estrellas, mientras que con una aniquilación del 100% consigues las tres estrellas.\n¡Cuidado, tus enemigos intentarán destruir tu ayuntamiento también! Para una mayor protección, mantén tu ayuntamiento en el medio de la aldea y protégelo con muros, trampas y edificios defensivos. ¡Tus enemigos son escurridizos y pueden salir de cualquier parte!","Questo è il cuore del tuo villaggio. Aumentando il livello del tuo Municipio sbloccherai nuove difese, edifici, trappole e molto altro.\nDistruggendo il Municipio di un avversario vincerai la battaglia e guadagnerai una Stella. Distruggendo il 50% degli edifici del nemico otterrai una seconda Stella, mentre la distruzione del 100% ti farà guadagnare tre Stelle.\nAttenzione, i tuoi nemici proveranno a distruggere il tuo Municipio!\nPer proteggerlo nel migliore dei modi, fai in modo che il Municipio si trovi al centro del villaggio e proteggilo con mura, trappole ed edifici difensivi. I tuoi nemici sono furbi e possono attaccare da qualunque lato!","Dit is het hart van je dorp. Door je stadhuis uit te breiden kan je nieuwe verdedigingen, gebouwen, valstrikken en nog veel meer vrijspelen.\nAls je het stadhuis van een tegenstander vernietigt, win je het gevecht en ontvang je een ster. Als je 50% van vijandelijke gebouwen weet te vernietigen krijg je een tweede ster en als je ze helemaal wegvaagt krijg je drie sterren.\nKijk uit want je vijanden zullen ook jouw stadhuis proberen te vernietigen!\nPlaats voor een optimale bescherming je stadhuis in het midden van het dorp en bescherm het met muren, valstrikken en verdedigingsgebouwen. Je vijanden zijn listig en kunnen van elke kant aanvallen!","Dette er hjertet i landsbyen din. Oppgrader rådhuset for å åpne nye forsvarsverker, bygninger, feller og mye mer.\nØdelegger du en motstanders rådhus, vinner du slaget og får én stjerne. Den andre stjernen får du ved å ødelegge 50 % av fiendens bygninger, mens en 100 % utslettelse gir deg alle tre stjernene.\nMen pass på, fiendene prøver å ødelegge rådhuset ditt også!\nSørg for maksimum beskyttelse ved å holde rådhuset i midten av landsbyen og beskytt det med vegger, feller og forsvarsbygninger. Fiendene dine er slue og kan angripe fra alle kanter!","Este é o coração da sua vila. Atualize o seu Centro da Vila para desbloquear novas defesas, edifícios, armadilhas e muito mais. Destruir o Centro da Vila de um oponente faz com que você ganhe a batalha e receba uma estrela. Ao destruir 50% dos edifícios inimigos você ganha uma segunda estrela, enquanto que uma aniquilação de 100% completa três estrelas. Cuidado, porque seus inimigos vão tentar destruir o seu Centro da Vila também! Para proteção máxima, mantenha o seu Centro da Vila no meio do terreno e proteja-o com muros, armadilhas e estruturas defensivas. Seus inimigos são sorrateiros e podem atacar de qualquer lado!","Bu, köyünüzün kalbi. Belediye Binası'nı yükseltmek, yeni savunmaların, binaların, tuzakların ve daha fazlasının kilidini açacaktır.\nBir rakibin Belediye Binası'nı yıkmak, size savaşı kazandırır ve bir Yıldız alırsınız. Düşman binalarının %50'sini yıkmak, size ikinci bir Yıldız kazandırır, %100 yıkım ise size tam üç yıldız kazandırır.\nDikkatli olun, düşmanlarınız da sizin Belediye Binanızı yıkmaya çalışacak!\nMaksimum koruma için, Belediye Binanızı köyünüzün ortasında tutun ve onu, duvarlarla, tuzaklarla ve savunma binalarıyla koruyun. Düşmanlarınız sinsi ve size herhangi bir yönden saldırabilir!",タウンホールは村の中心です。タウンホールをアップグレードすると\n新しい防衛設備、建物、トラップなどが色々と使えるようになります。\n対戦相手の村のタウンホールを破壊すれば戦いに勝利して、星が 1 つもらえます。\n相手の村の建物の 50% を破壊すれば 2 つめの星が、建物を 100% 破壊できれば\n最高評価の 3 つ星がもらえます。攻撃してくる敵プレイヤーも\nあなたのタウンホールをねらってきますので注意しましょう！\nタウンホールを村の中央に配置し、壁やトラップや防衛設備で囲んで守りましょう。\n敵もずるがしこいので、どの方向から攻撃してくるかわかりません！,这是村庄的核心地带。升级大本营，可以解锁新的建筑。\n摧毁敌军大本营，您将赢得战争，并获得一颗星。\n摧毁敌军50%的建筑，可赢得第二颗星。\n如果100%消灭敌军，则获得满分三星。\n小心！敌军也会摧毁您的大本营！\n把大本营建在村庄中心，并在其周围建造城墙、陷阱以及其他防御是最安全的举措。\n敌军十分狡猾，可能在村庄的任何一侧发起进攻！
TID_ELIXIR_PUMP_INFO,Elixir is pumped from Ley Lines coursing underneath your village. Upgrade your Elixir Collectors to maximize elixir production.,L'élixir est pompé depuis les lignes telluriques coulant dans le sous-sol de votre village. Améliorez vos réservoirs pour optimiser la production d'élixir.,"Elixier wird aus Kraftlinien gepumpt, die unter deinem Dorf verlaufen. Verbessere deine Elixiersammler, um die Elixierproduktion zu erhöhen.",El elixir se extrae de las Líneas Ley que pasan por debajo de la aldea. Mejora los recolectores de elixir para maximizar la producción.,L´elisir è estratto dalle Ley Line che scorrono sotto il tuo villaggio. Migliora i tuoi Estrattori di elisir per massimizzare la produzione.,Elixir wordt via de leylijnen onder het dorp opgepompt. Upgrade je elixirpompen om de productie te maximaliseren.,Eliksir pumpes opp fra leylinjer som går under landsbyen. Oppgrader eliksirsamlerne for å maksimere eliksirproduksjonen.,Elixir é bombeado dos lençóis de elixir que correm por debaixo de sua vila. Atualize seus coletores de Elixir para maximizar a produção.,İksir köyünün altından geçen Ley Hatlarından pompayla çekilir. İksir üretimini artırmak için İksir Toplayıcılarını yükselt.,エリクサーは村の下を流れている地脈からくみ上げて使います。\nエリクサーポンプをアップグレードすればエリクサーの生産量が増えます。,圣水收集器可以从村庄内的地下圣泉中收集圣水。升级您的圣水收集器以最大化圣水产量。
TID_ELIXIR_STORAGE_INFO,These storages contain the elixir pumped from underground. Upgrade them to increase the maximum amount of elixir you can store.,Ces réservoirs contiennent l'élixir qui a été pompé du sous-sol. Améliorez-les pour augmenter la capacité de stockage maximum.,"Diese Lager enthalten das aus dem Untergrund gepumpte Elixier. Verbessere sie, damit du mehr Elixier lagern kannst.",En estos almacenes se guarda el elixir que se saca de la tierra. Mejóralos para aumentar la cantidad máxima de elixir que puedes almacenar.,Questi depositi contengono l´elisir pompato dal sottosuolo. Migliorali per aumentare la quantità massima di elisir che puoi conservare.,Deze tanks bevatten het opgepompte elixir. Upgrade ze om de hoeveelheid elixir die je op kunt slaan te verhogen.,Disse lagrene inneholder eliksiren pumpet opp fra bakken. Oppgrader dem for å øke den maksimale mengden eliksir du kan lagre.,Estes depósitos contêm o elixir bombeado do subsolo. Atualize-os para aumentar a quantidade máxima de elixir que você pode armazenar.,Bu depolar yeraltından pompalanan iksiri içerir. Depolayabileceğin maksimum iksir miktarını artırmak için bunları yükselt.,地下からポンプでくみ上げたエリクサーをためておくタンクです。\nアップグレードすればエリクサーの最大収容量を増やせます。,圣水瓶用来保存从地下收集的圣水。升级圣水瓶以达到最大存储能力。
TID_GOLD_MINE_INFO,The Gold Mine produces gold. Upgrade it to boost its production and gold storage capacity.,La mine d'or produit de l'or. Améliorez-la pour stimuler sa production et augmenter sa capacité de stockage.,"Die Goldmine produziert Gold. Verbessere sie, damit sich ihre Produktion und Goldlagerungskapazität erhöht.",La mina de oro produce oro. Mejórala para aumentar la producción y la cantidad de oro almacenado.,La miniera d´oro produce oro. Migliorala per aumentare la produzione e la quantità di oro conservato.,De goudmijn produceert goud. Upgrade de mijn om de productie en opslagcapaciteit te vergroten.,Gullgruven produserer gull. Oppgrader den for å øke produksjonen og gullagerkapasiteten.,A Mina de Ouro produz ouro. Atualize-a para aumentar sua produção e capacidade de armazenamento de ouro.,Altın Madeninde altın üretilir. Üretimini ve depolama kapasitesini artırmak için bunu yükselt.,金山からは金（ゴールド）がとれます。\nアップグレードすれば生産量とゴールドの収容量が増えます。,金矿生产黄金。升级金矿以最大化黄金产量。
TID_GOLD_STORAGE_INFO,All your precious gold is stored here. Don't let sneaky goblins anywhere near! Upgrade the storage to increase its capacity and durability against attack.,Tout votre or est stocké ici. Ne laissez pas ces affreux gobelins s'en approcher ! Améliorez la réserve pour augmenter sa capacité de stockage et sa résistance aux attaques.,"Hier wird all dein kostbares Gold gelagert. Lass bloß nicht die hinterhältigen Kobolde in die Nähe! Verbessere das Lager, um seine Kapazität und Standhaftigkeit während eines Angriffs zu erhöhen.",Todo el oro se almacena aquí. ¡No dejes que se acerquen los duendes! Mejora el almacén para aumentar su capacidad y su resistencia a ataques.,Tutto il tuo oro è conservato qui. Non lasciare che i Goblin si avvicinino! Migliora il deposito per aumentarne la capienza e la resistenza agli attacchi.,Al je waardevolle goud wordt hier opgeslagen. Laat die groene lastpakken niet in de buurt komen! Upgrade de kluis om de capaciteit en weerbaarheid tegen aanvallen te verhogen.,Alt det verdifulle gullet ditt lagres her. Hold de slue nissene på lang avstand! Oppgrader lageret for å øke kapasiteten og holdbarheten mot angrep.,Todo o seu precioso ouro é armazenado aqui. Não deixe que os goblins sorrateiros cheguem perto! Atualize o armazenamento para aumentar a sua capacidade e resistência contra ataques.,Değerli altınının tamamı burada depolanır. Sinsi goblinleri buraya yaklaştırma! Kapasitesini ve saldırıya dayanıklılığını artırmak için depoyu yükselt.,大事なゴールドを置いておく建物です。\nゴブリンたちを近よらせないようにしましょう！\nアップグレードすれば収容量と、\n攻撃に対するしぶとさ（ヒットポイント）が増えます。,您珍贵的黄金都存在这里！不要让狡猾的哥布林有机可乘！升级储金罐，提高它们的容量和抗打击能力。
TID_BARRACK_INFO,The Barracks allow you to train troops to attack your enemies. Upgrade the Barracks to unlock advanced units that can win epic battles.,La caserne vous permet de former des troupes pour attaquer vos ennemis. Améliorez la caserne pour débloquer de meilleures unités et gagner d'épiques batailles.,"In der Kaserne kannst du Truppen trainieren, die dann deine Feinde angreifen. Verbessere die Kaserne, um bessere Einheiten freizuschalten, mit denen du epische Schlachten gewinnen kannst.","En el cuartel podrás entrenar tropas para atacar a los enemigos. Mejóralo, desbloquea unidades avanzadas y vence en épicos combates.",La Caserma ti permette di addestrare le truppe per attaccare i tuoi nemici. Migliora la Caserma per sbloccare unità avanzate in grado di vincere battaglie epiche.,In de kazerne kun je troepen trainen om je vijanden aan te vallen. Upgrade de kazerne om sterke eenheden te ontgrendelen die legendarische gevechten kunnen winnen.,Brakkene lar deg trene soldater for å angripe fiendene dine. Oppgrader brakkene for å åpne avanserte enheter som kan vinne episke slag.,O Quartel permite que você treine tropas para atacar seus inimigos. Atualize o Quartel para desbloquear unidades mais avançadas que podem ganhar batalhas épicas.,Kışla düşmanlarına saldırmak için asker eğitmeni sağlar. Destansı savaşlar kazanan gelişmiş birimlerin kilidini açmak için Kışlayı yükselt.,兵舎では敵への攻撃に使えるユニットを訓練できます。\n兵舎をアップグレードすれば強力なユニットも生産できるようになり、\n手強い相手にも勝てるようになるでしょう。,训练营可以训练军队抵抗外敌。升级训练营可解锁先进部队，助您在史诗般的战役中赢得胜利。
TID_BASIC_TURRET_INFO,"Cannons are great for point defense. Upgrade cannons to increase their firepower, but beware that your defensive turrets cannot shoot while being upgraded!","Les canons sont idéaux pour la défense de position. Améliorez vos canons pour augmenter leur puissance de feu, mais n'oubliez pas qu'ils ne peuvent faire feu pendant le processus d'amélioration !","Kanonen sind gut für die Punktverteidigung. Verbessere Kanonen, um ihre Feuerkraft zu erhöhen, aber beachte, dass deine Verteidigungstürme nicht schießen können, während sie verbessert werden!",Los cañones son ideales para defender un punto. Mejóralos para que tengan más potencia. Eso sí: ¡ten en cuenta que no pueden disparar mientras se estén mejorando!,"I cannoni sono ottimi per difendere punti strategici. Migliorali per aumentarne la potenza di fuoco, ma ricordati che le torrette difensive non possono sparare mentre il miglioramento è in corso.",Kanonnen zijn geweldig voor de verdediging. Upgrade kanonnen om hun vuurkracht te verbeteren. Maar let op: kanonnen kunnen niet schieten als ze worden geüpgraded!,"Kanoner er knall for punktforsvar. Oppgrader kanoner for å øke ildkraften deres, men vær klar over at forsvarstårnene ikke kan skyte mens de blir oppgradert!","Canhões são excelentes para defesa de ponto. Atualize canhões para aumentar seu poder de fogo, mas cuidado pois suas estruturas de defesa não podem atirar enquanto estejam sendo atualizadas!","Toplan nokta savunması için idealdir. Ateş gücünü artırmak için topları yükselt, ancak savunma taretlerinin yükseltme sırasında ateş edemeyeceğini unutma!",大砲は拠点防衛に向いています。大砲をアップグレードすれば\n攻撃力が上がりますが、アップグレードが完了するまでは\n村が攻撃されても撃てないので注意しましょう！,加农炮很适合防御单个目标。升级加农炮可以增强火力。注意！火炮在升级时不能开火！
TID_ARCHER_TOWER_INFO,"Archer Towers have longer range than cannons, and unlike cannons they can attack flying enemies.","Les tours d'archers ont une portée plus importante que les canons, et elles peuvent également attaquer les ennemis volants.",Bogenschützentürme haben eine höhere Reichweite als Kanonen und im Gegensatz zu Kanonen können sie fliegende Feinde angreifen.,"Las torres de arqueros tienen más alcance que los cañones y, además, pueden atacar a enemigos voladores.","Le torri degli arcieri hanno una gittata maggiore dei cannoni e, diversamente dai cannoni, possono attaccare nemici volanti.",Boogschuttertorens hebben een groter bereik dan kanonnen en kunnen vliegende vijanden aanvallen.,"Bueskyttertårn har større rekkevidde enn kanoner, og kan i motsetning til kanoner angripe flygende fiender.","Torres de Arqueiras apresentam alcance maior que os canhões, e ao contrário destes, podem atacar inimigos voadores.",Okçu Kulelerinin menzili toplardan uzundur ve topların tersine uçan düşmanlara saldırabilirler.,アーチャータワーは大砲よりも射程が長く、\n大砲と違って空を飛ぶ敵にも攻撃できます。,箭塔射程比加农炮远，而且还可以攻击空中目标。
TID_WIZARD_TOWER_INFO,The Ultimate Arcane Defense! Tower Wizards cast powerful area effect spells that target both flying and ground troops.,L´ultime défense obscure ! Les Sorciers de la Tour invoquent de puissants sorts visant à la fois les troupes volantes et au sol.,Die ultimative arkane Verteidigung! Turmzauberer wirken sowohl mächtige Flächenzauber gegen Gegner in der Luft und am Boden.,El definitivo juego Arcade defensivo! Los magos de la torre poseen potentes hechizos que afectan tanto a enemigos aéreos como a terrestres.,La difesa arcana definitiva! Le Torri dello stregone lanciano potenti incantesimi ad area che colpiscono sia le truppe volanti che quelle di terra.,De ultieme magische verdediging! Torentovenaars gebruiken krachtige spreuken die zich op troepen in de lucht en op de grond richten.,"Det ultimate hemmelige forsvar! Tårnsjamaner kaster kraftige områdeformler som tar seg av alle soldater, både i lufta og på bakken.","A insuperável Defesa Arcana! Os Magos da Torre lançam feitiços de efeito de área poderosos, que podem alvejar tanto tropas voadoras como terrestres.","Nihai Gizemli Savunma! Kule Büyücüleri, hem uçan hem de yaya askerleri hedef alan kuvvetli bir alan büyüsü yapmaktadır.",究極の魔法系防衛設備です！塔に陣取ったウィザードたちが\n強力な範囲攻撃呪文で敵の飛行ユニット・地上ユニット両方を攻撃してくれます。,终极防御设施！法师塔可以对一个区域内的敌军施加魔法，攻击侵入领土或领空的敌军。
TID_TESLA_TOWER_INFO,"Lay a deadly trap with the Hidden Tesla! Our Wizards have trapped a storm cloud into each of these sneaky towers. When an enemy walks or flies close enough, the tower springs up and fries it using the power of Electrickery!","Tendez un piège mortel grâce au Tesla camouflé ! Nos magiciens ont emprisonné un nuage orageux dans chacune de ces tours. Lorsqu'un ennemi marche ou vole trop près d'elle, la tour se soulève et le grille grâce à son pouvoir d'Électricherie !","Lege mit dem Verborgenen Tesla eine tödliche Falle! Unsere Zauberer haben in jedem dieser Türme eine Sturmwolke gefangen. Wenn ein Gegner nahe genug kommt, kommt der Turm zum Vorschein und elektrisiert den Gegner!","¡Coloca una trampa mortífera con el tesla oculto! Nuestros magos han atrapado una nube de tormenta en cada una de estas escurridizas torres. Cuando un enemigo se acerca lo suficiente por tierra o aire, ¡la torre se alza y lo fríe con el poder de la electricidad!","Tendi una trappola mortale con la Tesla occulta! I nostri Maghi hanno catturato una tempesta in ognuna di queste insidiose torri. Quando un nemico è abbastanza vicino, la torre scatta e lo frigge grazie al potere dell´Elettrotranello!","Plaats een dodelijke val met de verborgen tesla! Onze tovenaars hebben een stormwolk verborgen in een van deze gehaaide torens. Als een vijand te dicht in de buurt van de toren komt, schiet de toren omhoog en elektrocuteert deze de vijand!","Legg en dødelig felle med den skjulte teslaen! Trollmennene våre har fanget en stormsky inn i hvert av disse slue tårnene. Når en fiende går eller flyr nærme nok, spretter tårnet opp og griller den med kraften i Electrickery!","Prepare uma armadilha mortal com a Tesla Oculta! Os nossos Magos prenderam uma nuvem de tempestade em cada uma dessas torres furtivas. Quando um inimigo caminha ou voa próximo o bastante, a torre salta e o frita com o poder da Eletrapaça!","Gizli Tesla ile ölümcül bir tuzak kurun! Sihirbazlarımız bu sinsi kulelerden her birinin içine bir fırtına bulutu hapsetti. Bir düşman yeterince yakınında yürüdüğünde veya uçtuğunda, kule birdenbire ortaya çıkar ve Elektrik Sihri gücünü kullanarak düşmanı kızartır!",かくしテスラはウィザードたちが雷雲を塔に封じ込めてかくした強力なトラップで、\n敵の地上ユニットもしくは飛行部隊が近くを通ると\n地面から飛び出てビリビリの力でこんがり丸こげにしてくれます！,特斯拉电磁塔是看不见的！我们的法师把采集的风暴云储存在了这些隐藏的电磁塔中。如果有敌军从地面或空中接近，电磁塔会发射闪电袭击靠近的倒霉蛋！
TID_AIR_DEFENSE_INFO,"This anti-air tower is deadly against flying enemies, but can't target foes on the ground. Place it wisely to cover as much airspace as possible.","La tour de défense antiaérienne est mortelle contre les ennemis volants, mais elle ne peut viser les ennemis au sol. Positionnez-la judicieusement afin de couvrir une surface aérienne maximale.","Dieser Luftverteidigungsturm ist tödlich für fliegende Feinde, kann aber keine Feinde auf dem Boden anvisieren. Platziere ihn klug, um so viel Luftraum wie möglich abzudecken.","Esta torre antiaérea es letal contra enemigos voladores, pero no puede atacar a los terrestres. Colócala sabiamente para cubrir el máximo espacio aéreo posible.","Questa torre antiaerea è letale contro i nemici volanti, ma non può colpire i nemici a terra. Posizionala con attenzione in modo da coprire uno spazio aereo il più ampio possibile.","Deze magische toren is dodelijk voor vliegende vijanden, maar richt niets uit tegen grondtroepen. Zet ze zo neer dat ze zoveel mogelijk luchtruimte bestrijken.","Dette luftforsvarstårnet er dødelig mot flygende fiender, men kan ikke rettes mot opponenter på bakken. Plasser det med omtanke for å dekke mest mulig luftrom.","Esta torre antiaérea é mortal contra inimigos voadores, mas não pode atingir inimigos em solo. Posicione-a sabiamente para cobrir o maior espaço aéreo possível.","Bu uçarsavar kulesi uçan düşmanları telef eder, ancak yerdeki kötüleri hedef alamaz. Havada olabildiğinde geniş bir alanı kapsaması için akıllıca yerleştir.",この対空設備は空を飛ぶ敵は絶大な攻撃力をほこりますが、\n地面にいる敵には攻撃できません。\nできるだけ広い範囲を守れるように、うまく配置しましょう。,防空火箭是歼灭敌人空军的利器，可惜它不能攻击地面上的敌人。请巧妙部署防空火箭，最大限度保护您的领空。
